id,name,lat,lon,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000071,동부보건소 공영주차장,33.27542313,126.7030554,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000072,섭지코지주차장,33.42386248,126.9290133,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000073,대정하모 공영노외1주차장,33.226524,126.251489,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000074,서귀서초등학교 인근 공영주차장,33.255173,126.555879,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000075,노블컨벤션 안쪽 공영주차장,33.258965,126.5582889,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000076,자산오차드힐 인근 남측 공영주차장,33.261125,126.5543492,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000077,자산오차드힐 인근 북측 공영주차장,33.261563,126.554694,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000078,건강나라 맞은편 공영주차장,33.25876322,126.5556918,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000079,중문초등학교 서측 공영주차장,33.251636,126.428184,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000080,중앙 공영노외1주차장,33.251114,126.565451,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000081,천제연폭포 공영주차장,33.2532067,126.418764,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000082,천제연폭포 버스전용 공영주차장,33.25304291,126.4191565,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000083,남원 비안동 공영주차장,33.280062,126.7183421,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000084,대륜서호 공영노외1주차장(고근산주차장),33.26367641,126.5110517,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000085,세한교회 서측 공영주차장,33.26369535,126.554256,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000086,위미출장소 옆 공영주차장,33.27501048,126.6585881,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000087,남원읍사무소 옆 공영주차장,33.2798959,126.720606,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000088,대정하모 공영노외4주차장,33.223353,126.2538151,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000089,남원신례 공영노외1주차장,33.288233,126.6275841,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000090,대륜법환 공영노외1주차장,33.236971,126.5109648,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000091,월평마을도시재생사업 공영주차장,33.24570658,126.4611258,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000092,성산일출봉 주변 녹지공간 조성 주차장(1),33.450526,126.922177,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000093,성산일출봉 주변 녹지공간 조성 주차장(2),33.455341,126.9255273,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000094,남원 광지동 공영주차장,33.28146498,126.709075,,,,,,,,,,,,,,,,,,,,,,,,,,,
