"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000059,오복1길,공영,노외,,제주특별자치도 제주시 이도이동 1035-4,36,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.49675309,126.5329999,2021-08-18
405-2-000060,도남로 15길,공영,노외,,제주특별자치도 제주시 도남동 65-3,51,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.49183088,126.5284667,2021-08-18
405-2-000061,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 57-3,27,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49338897,126.5275687,2021-08-18
405-2-000062,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도이동 1028-1,19,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49187594,126.5353202,2021-08-18
405-2-000063,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도이동 425,25,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49914948,126.5440352,2021-08-18
405-2-000064,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도이동 1063-14,8,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49628517,126.5368924,2021-08-18
405-2-000065,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 이도이동 1909-75,6,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48964724,126.531355,2021-08-18
405-2-000066,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 574-3,32,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.4904382,126.5197745,2021-08-18
405-2-000067,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 689-7,20,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48828924,126.5210161,2021-08-18
405-2-000068,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 742-1,32,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49144787,126.5227917,2021-08-18
405-2-000069,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 703-8,8,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48914471,126.5224434,2021-08-18
405-2-000070,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 705-14,8,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48914231,126.5237562,2021-08-18
405-2-000071,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 735-1,24,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49172786,126.5220768,2021-08-18
405-2-000072,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 769-9,21,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48801961,126.5248727,2021-08-18
405-2-000073,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 755-1,34,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49063288,126.5247639,2021-08-18
405-2-000074,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 748-8,17,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48913439,126.5276407,2021-08-18
405-2-000075,이도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 도남동 664-6,28,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49048566,126.5267893,2021-08-18
405-2-000076,용담일동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담일동 137-54,6,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.51044523,126.5168512,2021-08-18
405-2-000077,용담일동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담일동 292-10,5,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50997766,126.5154493,2021-08-18
405-2-000078,용담일동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담일동 295-40,8,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.5106877,126.5160184,2021-08-18
405-2-000079,용담일동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담일동 220-10,4,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50948255,126.516265,2021-08-18
405-2-000080,용담일동 무료 주차장,공영,노외,,제주특별자치도 제주시 용담일동 220-16,5,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50964287,126.5161008,2021-08-18
405-2-000081,연동 무료 주차장,공영,노외,,제주특별자치도 제주시 연동 299-13,33,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48318911,126.4950118,2021-08-18
405-2-000082,연동 무료 주차장,공영,노외,,제주특별자치도 제주시 연동 1458-2,26,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48116032,126.4905389,2021-08-18
